origin,destination,distance_miles,logistics_cost_per_mile,total_logistics_cost
Cincinnati_OH,Minneapolis_MN,604.38,0.01,6.04
Cincinnati_OH,Sacramento_CA,1975.21,0.01,19.75
Cincinnati_OH,Milwaukee_WI,324.22,0.01,3.24
Cincinnati_OH,Boston_MA,737.89,0.01,7.38
Cincinnati_OH,Louisville_KY,89.1,0.01,0.89
Cincinnati_OH,Atlanta_GA,369.25,0.01,3.69
Cincinnati_OH,Miami_FL,953.64,0.01,9.54
Cincinnati_OH,Memphis_TN,409.21,0.01,4.09
Cincinnati_OH,Fresno_CA,1916.05,0.01,19.16
Cincinnati_OH,Kansas_City_MO,539.06,0.01,5.39
Cincinnati_OH,Albuquerque_NM,1247.05,0.01,12.47
Cincinnati_OH,Oklahoma_City_OK,756.2,0.01,7.56
Cincinnati_OH,Las_Vegas_NV,1679.12,0.01,16.79
Cincinnati_OH,Orlando_FL,750.76,0.01,7.51
Cincinnati_OH,Pittsburgh_PA,257.18,0.01,2.57
Cincinnati_OH,Tampa_FL,779.07,0.01,7.79
Cincinnati_OH,Denver_CO,1090.47,0.01,10.9
Cincinnati_OH,Dallas_TX,812.68,0.01,8.13
Cincinnati_OH,Detroit_MI,235.84,0.01,2.36
Cincinnati_OH,San_Antonio_TX,1038.47,0.01,10.38
Cincinnati_OH,Chicago_IL,251.74,0.01,2.52
Cincinnati_OH,Tucson_AZ,1552.08,0.01,15.52
Cincinnati_OH,Phoenix_AZ,1576.37,0.01,15.76
Cincinnati_OH,Indianapolis_IN,99.11,0.01,0.99
Cincinnati_OH,Columbus_OH,100.06,0.01,1.0
Cincinnati_OH,Seattle_WA,1965.35,0.01,19.65
Cincinnati_OH,Houston_TX,892.11,0.01,8.92
Miami_FL,St_Louis_MO,1060.86,0.01,10.61
Miami_FL,Charlotte_NC,653.82,0.01,6.54
Miami_FL,Nashville_TN,815.67,0.01,8.16
Miami_FL,Minneapolis_MN,1511.93,0.01,15.12
Miami_FL,Sacramento_CA,2545.55,0.01,25.46
Miami_FL,Milwaukee_WI,1269.05,0.01,12.69
Miami_FL,Boston_MA,1256.53,0.01,12.57
Miami_FL,Louisville_KY,920.73,0.01,9.21
Miami_FL,Atlanta_GA,605.51,0.01,6.06
Miami_FL,Cincinnati_OH,953.64,0.01,9.54
Miami_FL,Memphis_TN,872.45,0.01,8.72
Miami_FL,Fresno_CA,2436.83,0.01,24.37
Miami_FL,Kansas_City_MO,1241.41,0.01,12.41
Miami_FL,Albuquerque_NM,1694.58,0.01,16.95
Miami_FL,Oklahoma_City_OK,1224.97,0.01,12.25
Miami_FL,Las_Vegas_NV,2176.31,0.01,21.76
Miami_FL,Orlando_FL,204.51,0.01,2.05
Miami_FL,Pittsburgh_PA,1012.79,0.01,10.13
Miami_FL,Tampa_FL,204.89,0.01,2.05
Miami_FL,Denver_CO,1723.14,0.01,17.23
Miami_FL,Dallas_TX,1108.85,0.01,11.09
Miami_FL,Detroit_MI,1154.61,0.01,11.55
Miami_FL,San_Antonio_TX,1146.51,0.01,11.47
Miami_FL,Chicago_IL,1189.41,0.01,11.89
Miami_FL,Tucson_AZ,1904.37,0.01,19.04
Miami_FL,Phoenix_AZ,1977.03,0.01,19.77
Miami_FL,Indianapolis_IN,1025.74,0.01,10.26
Miami_FL,Columbus_OH,992.9,0.01,9.93
Miami_FL,Seattle_WA,2728.88,0.01,27.29
Miami_FL,Houston_TX,966.13,0.01,9.66
Memphis_TN,St_Louis_MO,240.54,0.01,2.41
Memphis_TN,Charlotte_NC,519.48,0.01,5.19
Memphis_TN,Nashville_TN,196.79,0.01,1.97
Memphis_TN,Minneapolis_MN,699.56,0.01,7.0
Memphis_TN,Sacramento_CA,1744.4,0.01,17.44
Memphis_TN,Milwaukee_WI,556.86,0.01,5.57
Memphis_TN,Boston_MA,1133.89,0.01,11.34
Memphis_TN,Louisville_KY,320.11,0.01,3.2
Memphis_TN,Atlanta_GA,336.32,0.01,3.36
Memphis_TN,Cincinnati_OH,409.21,0.01,4.09
Memphis_TN,Miami_FL,872.45,0.01,8.72
Memphis_TN,Fresno_CA,1659.04,0.01,16.59
Memphis_TN,Kansas_City_MO,369.53,0.01,3.7
Memphis_TN,Albuquerque_NM,936.42,0.01,9.36
Memphis_TN,Oklahoma_City_OK,421.13,0.01,4.21
Memphis_TN,Las_Vegas_NV,1405.66,0.01,14.06
Memphis_TN,Orlando_FL,682.57,0.01,6.83
Memphis_TN,Pittsburgh_PA,658.92,0.01,6.59
Memphis_TN,Tampa_FL,667.84,0.01,6.68
Memphis_TN,Denver_CO,876.54,0.01,8.77
Memphis_TN,Dallas_TX,419.37,0.01,4.19
Memphis_TN,Detroit_MI,622.78,0.01,6.23
Memphis_TN,San_Antonio_TX,631.18,0.01,6.31
Memphis_TN,Chicago_IL,482.73,0.01,4.83
Memphis_TN,Tucson_AZ,1216.57,0.01,12.17
Memphis_TN,Phoenix_AZ,1259.04,0.01,12.59
Memphis_TN,Indianapolis_IN,383.82,0.01,3.84
Memphis_TN,Columbus_OH,509.15,0.01,5.09
Memphis_TN,Seattle_WA,1862.05,0.01,18.62
Memphis_TN,Houston_TX,483.84,0.01,4.84
Fresno_CA,St_Louis_MO,1615.32,0.01,16.15
Fresno_CA,Charlotte_NC,2163.18,0.01,21.63
Fresno_CA,Nashville_TN,1824.61,0.01,18.25
Fresno_CA,Minneapolis_MN,1488.57,0.01,14.89
Fresno_CA,Sacramento_CA,157.77,0.01,1.58
Fresno_CA,Milwaukee_WI,1732.42,0.01,17.32
Fresno_CA,Boston_MA,2587.16,0.01,25.87
Fresno_CA,Louisville_KY,1856.34,0.01,18.56
Fresno_CA,Atlanta_GA,1995.11,0.01,19.95
Fresno_CA,Cincinnati_OH,1916.05,0.01,19.16
Fresno_CA,Miami_FL,2436.83,0.01,24.37
Fresno_CA,Memphis_TN,1659.04,0.01,16.59
Fresno_CA,Kansas_City_MO,1378.12,0.01,13.78
Fresno_CA,Albuquerque_NM,742.69,0.01,7.43
Fresno_CA,Oklahoma_City_OK,1242.45,0.01,12.42
Fresno_CA,Las_Vegas_NV,260.53,0.01,2.61
Fresno_CA,Orlando_FL,2287.23,0.01,22.87
Fresno_CA,Pittsburgh_PA,2144.55,0.01,21.45
Fresno_CA,Tampa_FL,2244.88,0.01,22.45
Fresno_CA,Denver_CO,827.82,0.01,8.28
Fresno_CA,Dallas_TX,1328.97,0.01,13.29
Fresno_CA,Detroit_MI,1978.08,0.01,19.78
Fresno_CA,San_Antonio_TX,1327.45,0.01,13.27
Fresno_CA,Chicago_IL,1743.63,0.01,17.44
Fresno_CA,Tucson_AZ,590.08,0.01,5.9
Fresno_CA,Phoenix_AZ,491.08,0.01,4.91
Fresno_CA,Indianapolis_IN,1824.39,0.01,18.24
Fresno_CA,Columbus_OH,1989.99,0.01,19.9
Fresno_CA,Seattle_WA,761.24,0.01,7.61
Fresno_CA,Houston_TX,1485.03,0.01,14.85
Kansas_City_MO,St_Louis_MO,238.07,0.01,2.38
Kansas_City_MO,Charlotte_NC,800.66,0.01,8.01
Kansas_City_MO,Nashville_TN,472.25,0.01,4.72
Kansas_City_MO,Minneapolis_MN,411.32,0.01,4.11
Kansas_City_MO,Sacramento_CA,1442.63,0.01,14.43
Kansas_City_MO,Milwaukee_WI,440.74,0.01,4.41
Kansas_City_MO,Boston_MA,1246.71,0.01,12.47
Kansas_City_MO,Louisville_KY,478.73,0.01,4.79
Kansas_City_MO,Atlanta_GA,675.04,0.01,6.75
Kansas_City_MO,Cincinnati_OH,539.06,0.01,5.39
Kansas_City_MO,Miami_FL,1241.41,0.01,12.41
Kansas_City_MO,Memphis_TN,369.53,0.01,3.7
Kansas_City_MO,Fresno_CA,1378.12,0.01,13.78
Kansas_City_MO,Albuquerque_NM,719.66,0.01,7.2
Kansas_City_MO,Oklahoma_City_OK,297.92,0.01,2.98
Kansas_City_MO,Las_Vegas_NV,1140.08,0.01,11.4
Kansas_City_MO,Orlando_FL,1048.83,0.01,10.49
Kansas_City_MO,Pittsburgh_PA,778.79,0.01,7.79
Kansas_City_MO,Tampa_FL,1037.04,0.01,10.37
Kansas_City_MO,Denver_CO,556.51,0.01,5.57
Kansas_City_MO,Dallas_TX,453.86,0.01,4.54
Kansas_City_MO,Detroit_MI,642.75,0.01,6.43
Kansas_City_MO,San_Antonio_TX,704.24,0.01,7.04
Kansas_City_MO,Chicago_IL,412.2,0.01,4.12
Kansas_City_MO,Tucson_AZ,1032.94,0.01,10.33
Kansas_City_MO,Phoenix_AZ,1046.97,0.01,10.47
Kansas_City_MO,Indianapolis_IN,451.2,0.01,4.51
Kansas_City_MO,Columbus_OH,618.96,0.01,6.19
Kansas_City_MO,Seattle_WA,1501.65,0.01,15.02
Kansas_City_MO,Houston_TX,646.52,0.01,6.47
Albuquerque_NM,St_Louis_MO,940.23,0.01,9.4
Albuquerque_NM,Charlotte_NC,1452.77,0.01,14.53
Albuquerque_NM,Nashville_TN,1116.1,0.01,11.16
Albuquerque_NM,Minneapolis_MN,981.1,0.01,9.81
Albuquerque_NM,Sacramento_CA,853.94,0.01,8.54
Albuquerque_NM,Milwaukee_WI,1141.41,0.01,11.41
Albuquerque_NM,Boston_MA,1966.31,0.01,19.66
Albuquerque_NM,Louisville_KY,1174.87,0.01,11.75
Albuquerque_NM,Atlanta_GA,1268.61,0.01,12.69
Albuquerque_NM,Cincinnati_OH,1247.05,0.01,12.47
Albuquerque_NM,Miami_FL,1694.58,0.01,16.95
Albuquerque_NM,Memphis_TN,936.42,0.01,9.36
Albuquerque_NM,Fresno_CA,742.69,0.01,7.43
Albuquerque_NM,Kansas_City_MO,719.66,0.01,7.2
Albuquerque_NM,Oklahoma_City_OK,515.35,0.01,5.15
Albuquerque_NM,Las_Vegas_NV,482.48,0.01,4.82
Albuquerque_NM,Orlando_FL,1545.14,0.01,15.45
Albuquerque_NM,Pittsburgh_PA,1495.25,0.01,14.95
Albuquerque_NM,Tampa_FL,1502.2,0.01,15.02
Albuquerque_NM,Denver_CO,334.13,0.01,3.34
Albuquerque_NM,Dallas_TX,586.29,0.01,5.86
Albuquerque_NM,Detroit_MI,1361.06,0.01,13.61
Albuquerque_NM,San_Antonio_TX,615.61,0.01,6.16
Albuquerque_NM,Chicago_IL,1126.99,0.01,11.27
Albuquerque_NM,Tucson_AZ,317.4,0.01,3.17
Albuquerque_NM,Phoenix_AZ,329.36,0.01,3.29
Albuquerque_NM,Indianapolis_IN,1166.29,0.01,11.66
Albuquerque_NM,Columbus_OH,1333.79,0.01,13.34
Albuquerque_NM,Seattle_WA,1182.04,0.01,11.82
Albuquerque_NM,Houston_TX,752.7,0.01,7.53
Oklahoma_City_OK,St_Louis_MO,458.52,0.01,4.59
Oklahoma_City_OK,Charlotte_NC,938.04,0.01,9.38
Oklahoma_City_OK,Nashville_TN,603.03,0.01,6.03
Oklahoma_City_OK,Minneapolis_MN,693.18,0.01,6.93
Oklahoma_City_OK,Sacramento_CA,1335.05,0.01,13.35
Oklahoma_City_OK,Milwaukee_WI,731.67,0.01,7.32
Oklahoma_City_OK,Boston_MA,1491.48,0.01,14.91
Oklahoma_City_OK,Louisville_KY,676.74,0.01,6.77
Oklahoma_City_OK,Atlanta_GA,754.73,0.01,7.55
